;address;location;state;country;category;year;title
0;Mühlenhof;Cordingen;Niedersachsen;Germany;village;1945;NA
1;Mühlenhof;Cordingen;Niedersachsen;Germany;village;1946;NA
2;Mühlenhof;Cordingen;Niedersachsen;Germany;village;1947;NA
3;Mühlenhof;Cordingen;Niedersachsen;Germany;village;1948;NA
4;Mühlenhof;Cordingen;Niedersachsen;Germany;village;1949;2
5;Mühlenhof;Cordingen;Niedersachsen;Germany;village;1950;NA
0;Haus Nr. 63;Kastel;Rheinland-Pfalz;Germany;village;1951;2
1;Haus Nr. 63;Kastel;Rheinland-Pfalz;Germany;village;1952;NA
2;Haus Nr. 63;Kastel;Rheinland-Pfalz;Germany;village;1953;1
3;Haus Nr. 63;Kastel;Rheinland-Pfalz;Germany;village;1954;NA
4;Haus Nr. 63;Kastel;Rheinland-Pfalz;Germany;village;1955;2
0;Inselstraße;Darmstadt;Hessen;Germany;city;1956;2
1;Inselstraße;Darmstadt;Hessen;Germany;city;1957;2
2;Inselstraße;Darmstadt;Hessen;Germany;city;1958;1
0;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1958;1
1;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1959;1
2;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1960;3
3;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1961;3
4;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1962;2
5;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1963;2
6;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1964;NA
7;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1965;NA
8;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1966;NA
9;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1967;NA
10;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1968;NA
11;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1969;NA
12;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1970;1
13;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1971;NA
14;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1972;NA
15;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1973;NA
16;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1974;NA
17;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1975;1
18;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1976;NA
19;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1977;NA
20;Haus Nr. 67;Bargfeld;Niedersachsen;Germany;village;1978;NA
